# generated by swarm.missions on 2026-05-25T12:14:33+00:00, duration_s=400, n_waypoints=60, seed=1779711273618751947
37.23145568, -115.79781947, 32.0
37.23142892, -115.79603693, 30.0
37.23213911, -115.79602836, 31.6
37.23216565, -115.79786009, 32.8
37.23286776, -115.79783376, 30.3
37.23289164, -115.79603100, 33.6
37.23355754, -115.79600571, 32.9
37.23363882, -115.79782699, 31.8
37.23429683, -115.79786700, 34.1
37.23431244, -115.79598132, 35.6
37.23503042, -115.79598646, 36.8
37.23503236, -115.79778295, 34.2
37.23574130, -115.79777534, 37.7
37.23577482, -115.79600282, 35.2
37.23647807, -115.79603487, 36.7
37.23644721, -115.79786357, 39.1
37.23720670, -115.79779085, 40.1
37.23722869, -115.79601196, 39.9
37.23787284, -115.79598286, 38.3
37.23789283, -115.79783658, 40.9
37.23866159, -115.79782679, 42.0
37.23863991, -115.79596097, 38.7
37.23931722, -115.79601313, 40.1
37.23934352, -115.79787490, 42.9
37.24004102, -115.79777703, 40.3
37.24008733, -115.79599383, 44.7
37.24075258, -115.79603244, 44.1
37.24081215, -115.79779886, 43.6
37.24149322, -115.79782193, 45.7
37.24153196, -115.79596548, 44.0
37.24226104, -115.79604191, 45.8
37.24221148, -115.79776889, 47.0
37.24297653, -115.79786686, 46.3
37.24295470, -115.79597309, 48.3
37.24368285, -115.79600743, 46.0
37.24369397, -115.79777073, 48.1
37.24437910, -115.79781568, 47.8
37.24441575, -115.79603300, 48.4
37.24511841, -115.79601277, 47.9
37.24513469, -115.79779096, 50.9
37.24578688, -115.79786974, 48.4
37.24580991, -115.79602043, 49.5
37.24655458, -115.79601425, 53.1
37.24649569, -115.79778857, 52.7
37.24727241, -115.79782030, 51.1
37.24727681, -115.79599930, 54.4
37.24800515, -115.79605436, 54.6
37.24795774, -115.79779023, 53.7
37.24870992, -115.79787387, 53.9
37.24867819, -115.79600582, 55.4
37.24938209, -115.79601621, 55.5
37.24939521, -115.79782587, 54.5
37.25013003, -115.79786074, 56.0
37.25011226, -115.79599019, 55.7
37.25081372, -115.79596169, 58.6
37.25085316, -115.79780314, 57.1
37.25160320, -115.79787318, 59.4
37.25158086, -115.79603976, 57.4
37.25229260, -115.79601672, 57.6
37.25231806, -115.79776764, 60.0
